1-1.5万/月,游戏开发工程师,南京,https://jobs.51job.com/nanjing/106616895.html?s=01&t=0,南京兵来网络科技有限公司
1.5-3.5万/月,生物信息研发经理,南京-浦口区,https://jobs.51job.com/nanjing-pkq/114880816.html?s=01&t=0,南京医渡云医学技术有限公司
18-35万/年,嵌入式软件工程师,南京-建邺区,https://jobs.51job.com/nanjing-jyq/117385973.html?s=01&t=0,江苏百宁盈创医疗科技有限公司
1.2-2万/月,高级产品经理,南京-建邺区,https://jobs.51job.com/nanjing-jyq/110242049.html?s=01&t=0,江苏北弓智能科技有限公司
1.2-2.4万/月,Perl/Python/Golang高级工程师（南京5G）,南京,https://jobs.51job.com/nanjing/117236105.html?s=01&t=0,中盈优创资讯科技有限公司
0.8-1万/月,AGV算法工程师,异地招聘,https://jobs.51job.com/wuhu/97482099.html?s=01&t=0,芜湖哈特机器人产业技术研究院有限公司
4.5-6千/月,嵌入式软件工程师,南京-雨花台区,https://jobs.51job.com/nanjing-yhtq/118146313.html?s=01&t=0,南京双启新能源科技有限公司
0.8-2万/月,应用软件开发工程师,南京-浦口区,http://njitrip.51job.com/sc/show_job_detail.php?jobid=112502491,中科芯集成电路股份有限公司南京分公司
1.5-2.5万/月,高级软件工程师,南京-浦口区,https://jobs.51job.com/nanjing-pkq/113083880.html?s=01&t=0,南京富岛信息工程有限公司
0.8-1万/月,Java开发工程师,南京-江宁区,https://jobs.51job.com/nanjing-jnq/116853867.html?s=01&t=0,南京卓恒科技有限公司
0.8-1万/月,Linux应用层开发工程师,南京-江宁区,https://jobs.51job.com/nanjing-jnq/114309577.html?s=01&t=0,南京东科优信网络安全技术研究院有限公司
0.8-2万/月,应用软件开发工程师,南京-浦口区,https://jobs.51job.com/nanjing-pkq/112502144.html?s=01&t=0,中科芯集成电路股份有限公司
